areaType,areaName,areaCode,date,newVaccinesGivenByPublishDate,cumVaccinesGivenByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
overview,United Kingdom,K02000001,2021-04-11,258888,39846781,69223,32190576,189665,7656205
overview,United Kingdom,K02000001,2021-04-10,586339,39587893,111109,32121353,475230,7466540
overview,United Kingdom,K02000001,2021-04-09,557014,39001554,106878,32010244,450136,6991310
overview,United Kingdom,K02000001,2021-04-08,545511,38444540,96242,31903366,449269,6541174
overview,United Kingdom,K02000001,2021-04-07,507926,37899029,99530,31807124,408396,6091905
overview,United Kingdom,K02000001,2021-04-06,272020,37391103,85227,31707594,186793,5683509
overview,United Kingdom,K02000001,2021-04-05,105334,37119083,40744,31622367,64590,5496716
overview,United Kingdom,K02000001,2021-04-04,95763,37013749,48055,31581623,47708,5432126
overview,United Kingdom,K02000001,2021-04-03,286799,36917986,107886,31533568,178913,5384418
overview,United Kingdom,K02000001,2021-04-02,354051,36631187,107420,31425682,246631,5205505
overview,United Kingdom,K02000001,2021-04-01,616234,36277136,170818,31318262,445416,4958874
overview,United Kingdom,K02000001,2021-03-31,627008,35660902,239434,31147444,387574,4513458
overview,United Kingdom,K02000001,2021-03-30,503599,35033894,225917,30908010,277682,4125884
overview,United Kingdom,K02000001,2021-03-29,405039,34530295,236809,30682093,168230,3848202
overview,United Kingdom,K02000001,2021-03-28,441142,34125256,293548,30445284,147594,3679972
overview,United Kingdom,K02000001,2021-03-27,663162,33684114,424301,30151736,238861,3532378
overview,United Kingdom,K02000001,2021-03-26,694959,33020952,411305,29727435,283654,3293517
overview,United Kingdom,K02000001,2021-03-25,559324,32325993,324942,29316130,234382,3009863
overview,United Kingdom,K02000001,2021-03-24,580307,31766669,337665,28991188,242642,2775481
overview,United Kingdom,K02000001,2021-03-23,494805,31186362,325650,28653523,169155,2532839
overview,United Kingdom,K02000001,2021-03-22,412197,30691557,329897,28327873,82300,2363684
overview,United Kingdom,K02000001,2021-03-21,419618,30279360,367006,27997976,52612,2281384
overview,United Kingdom,K02000001,2021-03-20,844285,29859742,752308,27630970,91977,2228772
overview,United Kingdom,K02000001,2021-03-19,740655,29015457,614930,26878662,125725,2136795
overview,United Kingdom,K02000001,2021-03-18,660276,28274802,528260,26263732,132016,2011070
overview,United Kingdom,K02000001,2021-03-17,581855,27614526,462246,25735472,119609,1879054
overview,United Kingdom,K02000001,2021-03-16,529119,27032671,433320,25273226,95799,1759445
overview,United Kingdom,K02000001,2021-03-15,440051,26503552,386685,24839906,53366,1663646
overview,United Kingdom,K02000001,2021-03-14,282381,26063501,257010,24453221,25371,1610280
overview,United Kingdom,K02000001,2021-03-13,564263,25781120,512108,24196211,52155,1584909
overview,United Kingdom,K02000001,2021-03-12,457254,25216857,369578,23684103,87676,1532754
overview,United Kingdom,K02000001,2021-03-11,354372,24759603,260809,23314525,93563,1445078
overview,United Kingdom,K02000001,2021-03-10,341049,24405231,243887,23053716,97162,1351515
overview,United Kingdom,K02000001,2021-03-09,290223,24064182,217301,22809829,72922,1254353
